"Secuencia","Proceso Producción","Estado Relacionado","Acción Relacionada","Campo Relacionado","Duración (Días)","Id."
0,"Bodegaje - Servicio","","","","","25888158"
10,"Inicio","Inicio","Inicio OK","createdAt",2,"18299596"
20,"Trazo","Trazo","Trazo OK","Trazo",2,"18272892"
30,"Compras","Compras","Compras OK","Compras",2,"18272900"
40,"Teñido y Tejido","Teñido y Tejido","Teñido y Tejido OK","Tenido_Tejido",2,"15779585"
41,"Teñido","","","","","36546610"
50,"Corte","Corte","Corte OK","Corte",2,"18429515"
60,"Etiquetado","Etiquetado","Etiquetado OK","Etiquetado",2,"18270858"
70,"Confección","Confección","Confección OK","Confeccion",2,"18429545"
80,"Corte y Confeccion","Corte y Confección","Corte y Confección OK","Corte_Confeccion",2,"16538227"
90,"Estampado","Estampado","Estampado OK","Estampado",2,"16544002"
100,"Prelavado","Prelavado","Prelavado OK","Prelavado",2,"15779592"
110,"Sublimación","Sublimación","Sublimación OK","Sublimacion",2,"15339263"
120,"Repujado","Repujado","Repujado OK","Repujado",2,"15336447"
130,"Bordado","Bordado","Bordado OK","Bordado",2,"16544003"
140,"Empaque","Empacado","Empaque OK","Empaque",2,"15140099"
150,"Terminar","Terminado","Terminar","Terminado",0,"19393549"
160,"Transporte","Terminado","CED OK","Terminado",2,"16093810"
200,"Paquete Completo Sin Marca","","N/A","","","15342541"
210,"Paquete Completo","","N/A","","","14158021"
220,"Mano de Obra Interna","Mano de Obra Interna","Mano de Obra","Mano de Obra",2,"21538871"
230,"Laminado","Laminado","Laminado OK","Laminado",2,"45370021"
